pause_sec,log_pause,rms_before,rms_after,rms_ratio,energy_slope,rate_before,rate_after,rate_delta,vowel_energy_ratio,spectral_flux,pitch_mean,pitch_drop,voiced_fraction,y,source
0.0,-4.6051702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1,cv_0
0.0,-4.6051702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0,cv_0
0.0,-4.6051702,0.0,0.07410669,7410669.5,0.0,0.0,1.0,1.0,0.0,0.0,0.2,0.0,0.0,0,cv_0
0.0,-4.6051702,0.06152654,0.018040048,0.29320753,-0.0080254525,0.6,0.4,-0.20000002,0.15,0.019100245,0.32999998,0.03999999,0.6,0,cv_0
0.0,-4.6051702,0.095551744,0.026484411,0.2771735,0.05268761,0.0,0.0,0.0,0.8,0.0070440313,0.69,0.61,0.0,0,cv_0
0.17,-1.7147983,0.03796211,0.041326053,1.0886129,-0.024137508,0.1,0.0,-0.1,0.25,0.011072633,0.445,0.030000001,0.1,0,cv_0
0.0,-4.6051702,0.025097359,0.038757037,1.5442669,7.753741e-05,0.45,1.0,0.55,0.1,0.0077029467,0.85249996,0.15500003,0.45,0,cv_0
0.0,-4.6051702,0.03225621,0.046932682,1.4549963,-0.017649597,0.0,0.1,0.1,0.45,0.008291374,0.5375,-0.015000045,0.0,0,cv_0
0.01,-3.912023,0.015503756,0.008429371,0.54369825,-0.0016078819,0.4,0.0,-0.4,0.25,0.005627072,0.74,0.42000002,0.4,0,cv_0
0.03,-3.218876,0.04039678,0.025369134,0.62799877,-0.010490183,0.5,0.2,-0.3,0.25,0.0130022345,0.5475,-0.014999986,0.5,0,cv_0
0.0,-4.6051702,0.071129665,0.010395991,0.14615548,0.05822066,0.7,0.0,-0.7,0.25,0.013779835,0.66,0.64,0.7,0,cv_0
0.08,-2.4079456,0.06091358,0.03630294,0.5959743,-0.10281282,0.6,0.6,0.0,0.4,0.009477419,0.39249998,0.08500001,0.6,0,cv_0
