pause_sec,log_pause,rms_before,rms_after,rms_ratio,energy_slope,rate_before,rate_after,rate_delta,last_segment_dur,segment_dur_ratio,vowel_energy_ratio,word_dur_ratio,n_segments,segment_variability,spectral_flux,pitch_mean,pitch_drop,voiced_fraction,y,source
0.0,-4.60517,0.38663,0.28159,1.37302,-0.00282228,2.5,2.5,0.0,0.23,1.0,1.35319,1.0,1,0.0,0.033874,170.691,8.87679,1.0,0,dudh
0.0,-4.60517,0.104963,0.234577,0.447453,0.00459358,2.5,7.5,5.0,0.1,0.645161,2.00493,0.645161,2,0.0777817,0.0287083,168.655,18.3468,0.368421,0,dudh
0.0,-4.60517,0.171504,0.264745,0.647804,-0.00488971,7.5,5.0,-2.5,0.05,0.769231,1.80814,0.769231,4,0.05,0.0315814,134.421,21.2209,0.263158,0,dudh
0.1,-2.20727,0.153192,0.1732,0.884474,0.00418554,5.0,7.5,2.5,0.15,1.60714,1.77768,1.60714,3,0.0665833,0.0272628,104.707,8.91051,0.578947,0,dudh
0.0,-4.60517,0.0809715,0.174318,0.464503,-0.00936866,7.5,10.0,2.5,0.02,0.24,2.45364,0.24,3,0.0929157,0.010459,100.635,0.0,0.210526,0,dudh
0.11,-2.12026,0.101294,0.255425,0.396568,-0.0109586,7.5,2.5,-5.0,0.03,0.333333,3.38932,0.333333,3,0.121655,0.0245593,109.318,0.0,0.105263,0,dudh
0.0,-4.60517,0.0248345,0.276007,0.0899776,0.00179908,7.5,2.5,-5.0,0.07,1.12,3.02882,1.12,4,0.0573731,0.00768561,0.0,0.0,0.0,0,dudh
0.0,-4.60517,0.223239,0.115713,1.92923,-0.00481224,2.5,5.0,2.5,0.29,1.0,2.48041,1.0,1,0.0,0.0369183,144.882,24.3008,0.947368,0,dudh
0.0,-4.60517,0.116052,0.212207,0.546877,-0.00968371,2.5,10.0,7.5,0.18,1.28571,2.04048,1.28571,2,0.0565685,0.0261056,179.194,31.8566,0.105263,1,dudh
0.0,-4.60517,0.154554,0.175821,0.879035,0.0118641,5.0,7.5,2.5,0.07,0.807692,3.27528,0.807692,3,0.0862168,0.0416807,150.009,26.5132,0.105263,0,dudh
0.0,-4.60517,0.224182,0.155166,1.44478,-0.0142956,5.0,7.5,2.5,0.05,0.555556,2.54696,0.555556,3,0.052915,0.0566621,127.464,41.907,0.473684,0,dudh
0.0,-4.60517,0.17075,0.161327,1.0584,0.00345571,7.5,7.5,0.0,0.04,0.761905,1.85739,0.761905,4,0.0419325,0.0508174,117.898,-45.9283,0.263158,0,dudh
0.0,-4.60517,0.163069,0.0843897,1.93231,-0.00656308,7.5,7.5,0.0,0.06,0.75,1.97129,0.75,3,0.052915,0.0332801,94.0904,0.0,0.210526,0,dudh
0.03,-3.21888,0.0844132,0.093191,0.905798,-0.00624038,7.5,5.0,-2.5,0.01,0.148148,1.94929,0.148148,4,0.0758837,0.0245357,96.1178,0.0,0.105263,1,dudh
0.03,-3.21888,0.0964454,0.30083,0.320597,-0.000193253,5.0,2.5,-2.5,0.22,2.12903,2.72131,2.12903,3,0.10116,0.0300088,85.0811,5.73912,0.210526,0,dudh
0.0,-4.60517,0.305305,0.178403,1.71132,0.000585836,5.0,2.5,-2.5,0.2,1.37931,1.9015,1.37931,2,0.0777817,0.0521467,148.848,10.9421,0.842105,0,dudh
0.0,-4.60517,0.260679,0.214817,1.21349,-0.000444902,0.0,5.0,5.0,0.01,1.0,1.0,1.0,40,0.0,0.035792,160.182,15.7054,1.0,0,dudh
0.0,-4.60517,0.268829,0.317127,0.847699,0.0177765,5.0,2.5,-2.5,0.01,1.0,1.00524,1.0,2,0.0,0.0421568,156.378,76.8419,0.842105,0,dudh
0.09,-2.30259,0.206692,0.0977724,2.114,-0.0109448,2.5,2.5,0.0,0.28,1.0,1.64058,1.0,1,0.0,0.0218006,152.209,7.4675,0.947368,1,dudh
0.15,-1.83258,0.0449133,0.18511,0.24263,-0.00390904,5.0,10.0,5.0,0.01,0.0740741,2.08364,0.0740741,2,0.176777,0.0121913,250.0,0.0,0.0526316,1,dudh
0.0,-4.60517,0.129802,0.197217,0.658165,0.00613803,2.5,5.0,2.5,0.12,0.774194,4.67731,0.774194,2,0.0494975,0.0407638,116.437,0.0,0.105263,0,dudh
0.0,-4.60517,0.199436,0.199036,1.00201,-0.00384757,2.5,5.0,2.5,0.3,1.93548,2.7205,1.93548,2,0.205061,0.0706189,120.89,7.24033,0.421053,0,dudh
0.0,-4.60517,0.185159,0.183919,1.00673,0.00318068,5.0,7.5,2.5,0.05,0.5,2.11603,0.5,3,0.07,0.0443401,209.39,-16.4317,0.368421,0,dudh
0.0,-4.60517,0.150827,0.193078,0.78117,0.0155735,12.5,2.5,-10.0,0.07,1.4,2.26036,1.4,5,0.0561249,0.0242137,102.705,0.0,0.263158,0,dudh
0.1,-2.20727,0.0591847,0.142365,0.415723,-0.00661435,7.5,0.0,-7.5,0.01,0.16,2.5032,0.16,4,0.0708872,0.0105232,0.0,0.0,0.0,0,dudh
0.0,-4.60517,0.100623,0.149444,0.67331,0.0084257,7.5,0.0,-7.5,0.11,1.17857,2.0019,1.17857,3,0.0763763,0.0170131,0.0,0.0,0.0,0,dudh
0.0,-4.60517,0.155922,0.129992,1.19947,-0.000311815,0.0,5.0,5.0,0.01,1.0,1.0,1.0,40,0.0,0.0116911,90.4142,0.0368423,0.473684,0,dudh
0.0,-4.60517,0.0606375,0.127537,0.475446,7.97514e-05,5.0,5.0,0.0,0.03,0.333333,2.06193,0.333333,3,0.121655,0.0230753,93.0233,0.0,0.0526316,0,dudh
0.12,-2.04022,0.126853,0.335619,0.377966,0.0031485,5.0,2.5,-2.5,0.26,2.68966,3.12016,2.68966,3,0.141539,0.0275121,0.0,0.0,0.0,1,dudh
0.0,-4.60517,0.303773,0.277809,1.09346,0.0245938,5.0,2.5,-2.5,0.12,1.71429,1.79869,1.71429,3,0.0556776,0.0502331,210.282,-47.9765,0.578947,0,dudh
0.07,-2.52573,0.102416,0.205301,0.498858,0.00290384,2.5,5.0,2.5,0.08,0.615385,1.43584,0.615385,2,0.0707107,0.0254792,204.99,38.0434,0.473684,0,dudh
0.0,-4.60517,0.328351,0.231532,1.41816,0.0192195,5.0,5.0,0.0,0.15,1.30435,1.55727,1.30435,2,0.0494975,0.0725421,176.263,10.1286,0.684211,0,dudh
0.0,-4.60517,0.227028,0.377112,0.602016,-0.00911036,5.0,0.0,-5.0,0.03,0.310345,1.80521,0.310345,3,0.0650641,0.0715774,204.762,-134.694,0.473684,0,dudh
0.0,-4.60517,0.217861,0.290847,0.749054,-0.011558,0.0,5.0,5.0,0.01,1.0,1.0,1.0,40,0.0,0.0318882,149.519,19.2235,0.894737,0,dudh
0.16,-1.77196,0.00783056,0.041764,0.187491,-7.94637e-05,5.0,2.5,-2.5,0.01,0.115385,2.85821,0.115385,3,0.107858,0.00348991,0.0,0.0,0.0,1,dudh
0.03,-3.21888,0.0236397,0.112785,0.209598,-0.00152115,5.0,7.5,2.5,0.01,0.0740741,4.08756,0.0740741,2,0.176777,0.00544075,381.968,2.97369,0.526316,1,dudh
0.0,-4.60517,0.108572,0.151557,0.716375,-0.00331841,5.0,10.0,5.0,0.03,0.3,5.34888,0.3,3,0.0818535,0.04093,132.84,-2.15126,0.210526,0,dudh
0.0,-4.60517,0.164832,0.0987345,1.66943,0.00738828,5.0,5.0,0.0,0.09,0.9,3.30929,0.9,3,0.0264575,0.0425747,124.046,20.6402,0.263158,0,dudh
0.11,-2.12026,0.0503787,0.28133,0.179073,-0.00500514,0.0,2.5,2.5,0.26,1.0,1.68992,1.0,1,0.0,0.0152699,0.0,0.0,0.0,1,dudh
0.0,-4.60517,0.00955053,0.294683,0.0324093,0.000351913,5.0,5.0,0.0,0.02,0.285714,2.69207,0.285714,3,0.0556776,0.00247179,208.193,0.0,0.105263,0,dudh
0.0,-4.60517,0.27321,0.165953,1.64631,0.0191652,5.0,2.5,-2.5,0.17,1.47826,2.65377,1.47826,2,0.0777818,0.0675032,168.659,73.0877,0.631579,1,dudh
0.0,-4.60517,0.22976,0.238784,0.962203,-0.0138765,5.0,5.0,0.0,0.01,0.0714286,2.12721,0.0714286,2,0.183848,0.0366613,164.744,-5.80757,0.842105,0,dudh
0.0,-4.60517,0.131292,0.179038,0.733315,-0.000482612,5.0,2.5,-2.5,0.04,0.631579,1.92281,0.631579,3,0.0585947,0.0332796,149.898,-4.54126,0.368421,0,dudh
0.0,-4.60517,0.176728,0.258621,0.683343,0.00810882,10.0,0.0,-10.0,0.06,2.0,1.1322,2.0,4,0.0216025,0.0229683,109.044,9.46586,0.526316,0,dudh
0.0,-4.60517,0.200815,0.25195,0.797041,0.0104896,2.5,2.5,0.0,0.01,1.0,1.0,1.0,1,0.0,0.0347452,110.216,-7.15064,0.578947,0,dudh
0.0,-4.60517,0.26769,0.159619,1.67704,0.0047935,5.0,2.5,-2.5,0.05,1.66667,1.20736,1.66667,2,0.0282843,0.052221,120.614,-11.9124,0.789474,0,dudh
0.0,-4.60517,0.246989,0.115013,2.14747,-0.00983724,7.5,5.0,-2.5,0.02,0.75,1.23634,0.75,3,0.0208167,0.054131,136.099,-5.72647,0.842105,0,dudh
0.0,-4.60517,0.108964,0.168912,0.645089,0.0077431,2.5,7.5,5.0,0.04,0.307692,1.83055,0.307692,2,0.127279,0.0252676,153.362,0.0,0.210526,0,dudh
0.12,-2.04022,0.0195775,0.167565,0.116835,6.16195e-05,10.0,7.5,-2.5,0.07,1.4,3.39716,1.4,5,0.0339116,0.00665379,158.416,0.0,0.0526316,1,dudh
0.0,-4.60517,0.138781,0.129211,1.07406,0.0157501,5.0,7.5,2.5,0.11,1.13793,3.74652,1.13793,3,0.0152753,0.0191169,143.941,205.402,0.368421,0,dudh
0.0,-4.60517,0.124744,0.185444,0.672672,-0.00457695,7.5,5.0,-2.5,0.07,1.23529,1.36204,1.23529,3,0.0416333,0.028985,102.436,2.92899,0.210526,1,dudh
0.12,-2.04022,0.0480457,0.075795,0.633882,-0.0035116,2.5,5.0,2.5,0.03,0.285714,1.47556,0.285714,2,0.106066,0.00603721,240.791,-280.323,0.105263,0,dudh
0.0,-4.60517,0.0748101,0.187358,0.399288,0.00263351,7.5,5.0,-2.5,0.04,0.615385,3.65031,0.615385,4,0.0519615,0.0266207,94.8624,0.0,0.157895,0,dudh
0.0,-4.60517,0.0728304,0.198959,0.366056,0.000299065,5.0,10.0,5.0,0.04,0.5,3.81816,0.5,3,0.04,0.0275391,94.9563,0.0,0.105263,0,dudh
0.0,-4.60517,0.210893,0.203263,1.03753,-0.00104478,5.0,2.5,-2.5,0.25,2.5,2.23571,2.5,3,0.130767,0.0359439,103.147,9.27557,0.578947,0,dudh
